,v5,v4,display names,source type,source colors
CGI,148,155,CGI,Existing,#480a77
CIViC,416,367,CIViC,Updated,#8075ff
COSMIC,28,28,COSMIC,Existing,#480a77
CancerCommons,80,80,CancerCommons,Existing,#480a77
ChEMBL,5659,17037,ChEMBL,Updated,#8075ff
ChemIDplus,5879,0,ChemIDplus,New,#fa198b
ClearityFoundationBiomarkers,64,64,CF: Biomarkers,Existing,#480a77
ClearityFoundationClinicalTrial,114,115,CF: Clinical Trials,Existing,#480a77
DTC,6290,6290,DTC,Existing,#480a77
DoCM,39,39,DoCM,Existing,#480a77
DrugBank,7546,0,DrugBank,Updated,#8075ff
Drugs@FDA,9233,0,Drugs@FDA,New,#fa198b
FDA,289,291,FDA,Existing,#480a77
GuideToPharmacology,8271,7233,GtoPdb,Existing,#480a77
HemOnc,488,0,HemOnc.org,Existing,#480a77
JAX-CKB,741,733,JAX-CKB,Existing,#480a77
MyCancerGenome,226,252,MCG,Existing,#480a77
MyCancerGenomeClinicalTrial,82,112,MCG: Clinical Trials,Existing,#480a77
NCI,1519,1519,NCI,Existing,#480a77
NCIt,7028,0,NCIt,New,#fa198b
OncoKB,89,89,OncoKB,Existing,#480a77
PharmGKB,1177,1072,PharmGKB,Updated,#8075ff
RxNorm,4544,0,RxNorm,New,#fa198b
TALC,285,274,TALC,Existing,#480a77
TEND,988,989,TEND,Existing,#480a77
TTD,12410,12410,TTD,Existing,#480a77
TdgClinicalTrial,2425,2419,TDG: Clinical Trials,Existing,#480a77
Wikidata,2634,128,Wikidata,Updated,#8075ff
